time,open,high,low,close,"ETHUSD, BITSTAMP: Open","ETHUSD, BITSTAMP: High","ETHUSD, BITSTAMP: Low","ETHUSD, BITSTAMP: Close",HV
1610064000,1227.55,1275,1063.18,1217.35,1229.76,1275.74,1065,1217.84,106.6471821076112
1610150400,1217.31,1310,1172.86,1281.45,1219.76,1309.98,1171.88,1280.11,105.51531026165759
1610236800,1281.25,1350.88,1153,1255.13,1282.4,1352.85,1146.34,1256,105.10576916934073
1610323200,1255.1,1260.24,905,1088.79,1258.23,1258.23,911,1087.82,119.97027427491341
1610409600,1088.55,1150,1006.83,1049.79,1086.46,1152,1005.04,1048.42,121.4425885812945
1610496000,1050.46,1137.75,980,1130.8,1048.9,1137.09,985.29,1130.76,122.49740488362056
1610582400,1130.79,1246.99,1087.05,1231.32,1130.42,1246.54,1086.69,1233.01,124.2170556521716
1610668800,1231.59,1255.59,1065,1168.1,1233.84,1255.52,1059.55,1170.93,125.35995590383543
1610755200,1169.04,1294,1152.3,1227.14,1169.71,1293.18,1152.51,1228.19,125.6777839075898
1610841600,1227.76,1268.83,1165.78,1232.99,1226.44,1268.87,1166.08,1232.95,125.80299455018613
1610928000,1232.6,1261,1181.9,1258.48,1233.23,1261.3,1182.8,1257.86,125.69757333525796
1611014400,1258.55,1440,1252.01,1368.04,1258.64,1440,1251.49,1369.62,125.96508388857173
1611100800,1367.7,1408.5,1234.01,1376.88,1368.05,1408.28,1235.12,1377.8,123.41369656191289
1611187200,1377.15,1390,1081,1110.62,1378.36,1389.49,1081.22,1110.37,148.47407536827828
1611273600,1110.61,1275.99,1039.62,1233.6,1110.48,1275.57,1041.22,1234.77,146.66983891406963
1611360000,1233.42,1272,1196.74,1234.55,1232.26,1273,1196.22,1234.52,146.70861065774787
1611446400,1234.47,1401.92,1221.66,1394,1233.88,1400,1221.84,1393.5,150.51621662486346
1611532800,1394.04,1477.3,1293.65,1317.97,1393.86,1476.06,1293.2,1317.92,153.14012951533866
1611619200,1317.98,1378.12,1245,1367.98,1316.21,1378.34,1245.25,1367.96,152.27877088785309
1611705600,1367.97,1375.91,1206.05,1240.96,1366.91,1375,1205.98,1240.62,156.97758011964987
1611792000,1240.62,1363.27,1220.08,1333.19,1240.62,1364,1219,1331.71,157.95701349345177
1611878400,1333.61,1442.88,1286.56,1379.87,1332.47,1440,1287.61,1379.35,158.00923904981406
1611964800,1380.04,1408.97,1327,1380,1380.94,1407.67,1326.81,1378.15,157.5247428540354
1612051200,1380,1382,1283,1313.94,1374.46,1381.13,1282.48,1314.17,159.0385191720099
1612137600,1313.95,1378.02,1271.31,1374.6,1313.19,1377.76,1271.8,1375.28,158.69526078191288
1612224000,1374.55,1549,1360.27,1513.67,1375.65,1549.21,1362.85,1513,142.0369535082041
1612310400,1513.85,1672.21,1509.48,1668.72,1513.62,1673.34,1507.61,1667.28,144.0204984723563
1612396800,1668.71,1699,1556,1597.55,1669.23,1698.56,1555.26,1598.89,144.63248497409077
1612483200,1597.34,1763.93,1589.17,1721.06,1598.15,1764.55,1593,1721.04,143.46913982180612
1612569600,1721.06,1745.25,1646.7,1679.77,1721.72,1745.52,1647.76,1679.46,143.99732630017223
1612656000,1679.76,1695.38,1493.28,1615.32,1680.03,1695.09,1492.6,1615.44,144.87315194333786
1612742400,1615.51,1780,1565.98,1752.98,1615.77,1779.43,1566.21,1752.3,146.31459290958122
1612828800,1752.98,1824.23,1710.01,1772.16,1754.07,1825.36,1708.21,1772.94,145.89554587097206
1612915200,1771.91,1839,1680,1742.93,1773.72,1839,1678.67,1743.14,135.81142798272782
1613001600,1742.51,1819,1704.23,1787.32,1745.21,1819,1704.87,1788.18,134.57053008116458
1613088000,1787.33,1868.9,1741.29,1845,1787.64,1868.8,1741.16,1845.93,133.1768486963896
1613174400,1844.78,1877.88,1766.15,1818.01,1845.74,1874.98,1765.54,1817.2,131.28715697609073
1613260800,1817.85,1852.47,1785.07,1803.75,1820.26,1853.3,1785.93,1802,129.44497758710696
1613347200,1803.25,1836,1659.93,1779.62,1803.43,1839.25,1660,1780.19,129.18018325012102
1613433600,1780.59,1825,1725,1781.97,1779.6,1826.23,1723.67,1781.16,129.21026311735645
1613520000,1782.14,1857.61,1733.87,1852,1783.75,1857.79,1733.46,1851.26,129.49818532048488
1613606400,1851.9,1950.3,1851.47,1939.64,1852.07,1951.26,1852.07,1939.05,127.6447462125038
1613692800,1939.64,1974.98,1890,1957.68,1942.87,1974.99,1890.69,1958.16,127.63444958161784
1613779200,1957.9,2041.42,1811.25,1915.46,1957.84,2040.62,1801.94,1916.4,100.13511376717796
1613865600,1915.01,1976.72,1885,1935.57,1915.03,1976.94,1885.29,1935.24,95.29058886948432
1613952000,1935.67,1938.95,1507.34,1778.66,1936.27,1937.11,1540.58,1778.72,101.1533582234105
